"filename","_col1"
"20230821_16_408.zip-382107H0.802","66"
"20230822_14_408.zip-382253H0.809","12"
"20230820_16_408.zip-382023H0.811","42"
"20230822_23_408.zip-382259H0.814","9"
"20230823_16_408.zip-382312H0.808","7"
"20230822_16_408.zip-382210H0.807","38"
"20230821_23_408.zip-382135H0.805","18"
"20230823_20_408.zip-382356H0.811","38"
"20230823_12_408.zip-382319H0.807","38"
"20230822_17_408.zip-382241H0.805","17"
"20230811_10_408.zip-381176H0.802","84"
"20230824_06_408.zip-382458H0.811","38"
"20230810_19_408.zip-381088H0.807","1823"
"20230811_21_408.zip-381143H0.814","5374"
"20230824_10_408.zip-382415H0.815","4"
"20230824_01_408.zip-382359H0.805","16"
"20230823_21_408.zip-382355H0.805","16"
"20230823_23_408.zip-382340H0.807","38"
"20230819_18_408.zip-381990H0.807","45"
"20230824_08_408.zip-382463H0.805","16"
"20230810_23_408.zip-381086H0.812","459"
"20230810_04_408.zip-381052H0.805","54"
"20230814_19_408.zip-381473H0.804","274"
"20230817_09_408.zip-381700H0.809","736"
"20230813_06_408.zip-381344H0.811","6917"
"20230812_13_408.zip-381233H0.813","1601"
"20230814_19_408.zip-381454H0.813","2128"
"20230815_07_408.zip-381548H0.801","523"
"20230814_07_408.zip-381416H0.812","492"
"20230813_03_408.zip-381375H0.809","1132"
"20230813_18_408.zip-381381H0.809","1592"
"20230815_12_408.zip-381545H0.807","163"
"20230814_22_408.zip-381429H0.812","570"
"20230813_14_408.zip-381305H0.812","245"
"20230817_18_408.zip-381722H0.804","1643"
"20230815_10_408.zip-381586H0.804","1202"
"20230812_11_408.zip-381232H0.813","1725"
"20230814_20_408.zip-381427H0.812","386"
"20230813_19_408.zip-381357H0.804","2049"
"20230814_18_408.zip-381455H0.811","2826"
"20230815_06_408.zip-381556H0.811","4184"
"20230815_19_408.zip-381556H0.801","1544"
"20230815_21_408.zip-381582H0.814","843"
"20230821_03_408.zip-382123H0.805","19"
"20230821_13_408.zip-382129H0.806","101"
"20230820_23_408.zip-382031H0.811","42"
"20230822_17_408.zip-382255H0.809","12"
"20230820_22_408.zip-382038H0.814","12"
"20230822_20_408.zip-382257H0.809","12"
"20230823_08_408.zip-382370H0.809","12"
"20230822_02_408.zip-382196H0.815","9"
"20230824_06_408.zip-382490H0.812","15"
"20230823_01_408.zip-382263H0.809","12"
"20230823_10_408.zip-382371H0.809","12"
"20230823_07_408.zip-382362H0.814","8"
"20230810_13_408.zip-381080H0.812","324"
"20230822_10_408.zip-382282H0.812","18"
"20230823_21_408.zip-382335H0.807","38"
"20230811_22_408.zip-381132H0.811","537"
"20230823_14_408.zip-382327H0.807","38"
"20230815_06_408.zip-381558H0.813","1387"
"20230814_09_408.zip-381461H0.814","655"
"20230816_19_408.zip-381671H0.808","1973"
"20230812_08_408.zip-381234H0.804","1558"
"20230813_11_408.zip-381341H0.813","270"
"20230816_08_408.zip-381689H0.805","285"
"20230813_20_408.zip-381336H0.801","195"
"20230818_02_408.zip-381704H0.809","7431"
"20230816_08_408.zip-381695H0.804","1591"
"20230812_14_408.zip-381240H0.804","1155"
"20230812_08_408.zip-381222H0.815","658"
"20230817_13_408.zip-381745H0.812","1100"
"20230816_07_408.zip-381652H0.807","769"
"20230814_16_408.zip-381452H0.813","2030"
"20230816_22_408.zip-381608H0.804","712"
"20230813_03_408.zip-381380H0.802","2534"
"20230816_16_408.zip-381631H0.816","1194"
"20230812_19_408.zip-381227H0.801","1793"
"20230813_13_408.zip-381304H0.812","1379"
"20230822_03_408.zip-382241H0.809","13"
"20230816_16_408.zip-381637H0.812","3030"
"20230821_19_408.zip-382145H0.814","10"
"20230824_04_408.zip-382434H0.806","69"
"20230823_17_408.zip-382310H0.815","5"
"20230811_13_408.zip-381166H0.805","2952"
"20230810_12_408.zip-381010H0.801","2086"
"20230823_12_408.zip-382372H0.809","12"
"20230824_10_408.zip-382471H0.814","8"
"20230811_21_408.zip-381106H0.815","1535"
"20230813_12_408.zip-381356H0.808","2258"
"20230814_20_408.zip-381442H0.801","1137"
"20230814_09_408.zip-381418H0.812","537"
"20230814_06_408.zip-381435H0.815","3163"
"20230815_19_408.zip-381580H0.814","2838"
"20230816_03_408.zip-381636H0.812","1909"
"20230818_01_408.zip-381792H0.808","1103"
"20230816_17_408.zip-381638H0.812","1118"
"20230817_07_408.zip-381763H0.813","331"
"20230816_15_408.zip-381661H0.815","2969"
"20230816_20_408.zip-381672H0.808","1172"
"20230812_06_408.zip-381233H0.804","1600"
"20230816_19_408.zip-381692H0.809","1268"
